,productLink,actualPrice,suggPrice,numReviews,avgRating,questions,answers,brand,producedIn,productCategory
1530,https://www.surlatable.com/product/PRO-3660107/Emile+Henry+Ruffled+Pie+Dish,29.96,49.95,3.0,4.0,3,34,: Emile Henry,France,Bakeware
1531,https://www.surlatable.com/product/PRO-1909472/Staub+Ceramic+Bowl,19.95,30.0,0.0,0.0,2,18,: Staub,China,Dining & Home
1532,https://www.surlatable.com/product/PRO-22428/Round+Paper+Baking+Mold,,,,,,,,,
1533,https://www.surlatable.com/product/PRO-1488345/Progressive+PL8+Stainless+Steel+Magnetic+Measuring+Spoons,19.95,0.0,1.0,1.0,3,39,: Progressive,China,Kitchen Tools
1534,https://www.surlatable.com/product/PRO-651299/Mauviel+Mpassion+Copper+Mixing+Bowl,99.96,189.95,9.0,5.0,10,74,: Mauviel,France,Kitchen Tools
1535,https://www.surlatable.com/product/PRO-3658978/Revol+Les+Naturels+Tart+Pan,69.95,0.0,1.0,5.0,2,4,: Revol,France,Bakeware
1536,https://www.surlatable.com/product/PRO-7404/Gobel+Nonstick+Tartlets,,,,,,,,,
1537,https://www.surlatable.com/product/PRO-2744084/Tovolo+Angled+Bench+Scraper,10.00,0.0,0.0,0.0,1,19,: Tovolo,China,Bakeware
1538,https://www.surlatable.com/product/PRO-2509750/Sur+La+Table+Porcelain+Quiche+Dish,8.96,15.0,6.0,4.333333333333333,5,49,: Sur La Table,China exclusively for Sur La Table,Bakeware
1539,https://www.surlatable.com/product/PRO-2093276/OXO+Squeeze+and+Pour+Silicone+Measuring+Cups,20.00,0.0,11.0,4.727272727272728,6,68,: OXO,China,Kitchen Tools
1540,https://www.surlatable.com/product/PRO-2748085/Anchor+Hocking+Glass+Batter+Bowl+with+TrueFit+Lid,19.95,0.0,2.0,2.5,3,30,: Anchor Hocking,,Kitchen Tools
1541,https://www.surlatable.com/product/PRO-4116/Pie+Marker,,,,,,,,,
1542,https://www.surlatable.com/product/PRO-610923/Ateco+Natural+Boar+Bristle+Flat+Pastry+Brush,12.95,0.0,1.0,5.0,3,54,: Ateco,China,Kitchen Tools
1543,https://www.surlatable.com/product/PRO-2566180/Non+Skid+Stainless+Steel+Mixing+Bowls,50.00,0.0,11.0,4.818181818181818,5,63,: Sur La Table,China,Kitchen Tools
1544,https://www.surlatable.com/product/PRO-2566123/Sur+La+Table+Stainless+Steel+Prep+Bowl,6.00,0.0,2.0,5.0,3,25,: Sur La Table,China exclusively for Sur La Table,Kitchen Tools
1545,https://www.surlatable.com/product/PRO-3555190/Le+Creuset+Pie+Bird,13.00,0.0,0.0,0.0,1,1,: Le Creuset,China,Bakeware
