sku,actualPrice,suggPrice,numReviews,avgRating,questions,answers,brand,productCategory,priceDiff,percentSaved,answersPerQuestion,market,percentSaved_Dev_productCategory,priceDiff_Dev_productCategory,actualPrice_Dev_productCategory,twoPlusReviews,France,Germany,India,Italy,Japan,Other APAC,Other Americas,Other EMEA,USA,percentSaved_Dev_market,priceDiff_Dev_market,actualPrice_Dev_market,suggPrice_Dev_market
2642981,14.99,25.0,8.0,5.0,2.0,40.0,sur la table,Dining & Home,10.01,0.4004,20.0,Italy,1.688490356335368,0.29324877629898827,-0.2786524259075323,1,0,0,0,1,0,0,0,0,0,1.1209322468635652,-0.22110530517002017,-0.27498162105031565,-0.2958066936399012
3497377,49.99,80.0,2.0,5.0,1.0,8.0,sur la table,Dining & Home,30.01,0.375125,8.0,Italy,1.5490668801210192,1.3862469304229676,0.07528604684307533,1,0,0,0,1,0,0,0,0,0,0.99658041560674,0.06456370133966714,-0.1774560197697307,-0.1532995272727251
3827797,99.95,99.95,1.0,5.0,2.0,7.0,zwilling j.a. henckels,Dining & Home,0.0,0.0,3.5,China,-0.5202202223481225,-0.25379679984006337,0.5805079353750855,0,0,0,0,0,0,0,0,0,0,-0.7240606416260017,-0.3264100070102573,0.17614605062564487,0.0006813187844291793
2027647,27.96,34.95,11.0,3.5454545454545454,7.0,84.0,sur la table,Dining & Home,6.990000000000002,0.20000000000000004,12.0,China,0.5830318149563185,0.12820605502626753,-0.14749294043394998,1,0,0,0,0,0,0,0,0,0,0.25336414580608346,-0.24272933605134908,-0.2863182982335381,-0.28626658553103457
2193183,20.0,20.0,2.0,4.5,4.0,25.0,zwilling j.a. henckels,Dining & Home,0.0,0.0,6.25,China,-0.5202202223481225,-0.25379679984006337,-0.22798866166523105,1,0,0,0,0,0,0,0,0,0,-0.7240606416260017,-0.3264100070102573,-0.3374534033442354,-0.35226460352359124
4049177,59.95,59.95,4.0,4.25,3.0,9.0,sur la table,Dining & Home,0.0,0.0,3.0,Italy,-0.5202202223481225,-0.25379679984006337,0.1760068236601054,1,0,0,0,1,0,0,0,0,0,-0.8490172382099376,-0.36408264292811865,-0.1497030200910271,-0.20524986701203204
2642999,35.96,100.0,2.0,3.5,2.0,23.0,sur la table,Dining & Home,64.03999999999999,0.6404,11.5,Italy,3.012392801100697,3.245983289664918,-0.06659271809095396,1,0,0,0,1,0,0,0,0,0,2.301721149005525,0.5506295159158999,-0.21654985365449092,-0.10147873950284289
4399176,49.99,72.0,1.0,5.0,1.0,5.0,sur la table,Dining & Home,22.01,0.30569444444444444,5.0,Italy,1.16606987078179,0.9490476687733759,0.07528604684307533,0,0,0,0,1,0,0,0,0,0,0.6549852928169452,-0.049703901264207775,-0.1774560197697307,-0.174027842380678
2193134,20.0,80.0,8.0,4.625,5.0,68.0,zwilling j.a. henckels,Dining & Home,60.0,0.75,13.6,China,3.616974917543531,3.0251976625318746,-0.22798866166523105,1,0,0,0,0,0,0,0,0,0,2.9412823112443167,0.3918790140962507,-0.3374534033442354,-0.08738961492470163
317989,10.0,10.0,1.0,5.0,3.0,18.0,sur la table,Dining & Home,0.0,0.0,6.0,Other EMEA,-0.5202202223481225,-0.25379679984006337,-0.32911393959397606,0,0,0,0,0,0,0,0,1,0,-1.0403818790169617,-0.40847178898927144,-0.38433424294670737,-0.4016917964316855
